startup_name,founded_year,country,industry,funding_stage,total_funding_millions,number_employees,annual_revenue_millions,valuation_billions,success_score,acquired,ipo,customers_millions,tech_stack,social_media_followers,cluster,revenue_per_employee,funding_per_employee,valuation_per_employee,revenue_per_customer,funding_per_customer,valuation_per_customer,funding_to_revenue,valuation_to_revenue,revenue_to_funding,followers_per_customer
Startup_37,2021-01-01,Australia,EdTech,Series A,262.0,1520.0,902.0,26.47,2.0,Yes,Yes,99.0,"C++, ML",1643315.0,0,0.5930309007232084,0.1722550953320184,17.40302432610125,9.02,2.62,264.7,0.2901439645625692,29.313399778516057,3.429657794676806,16433.15
Startup_38,2016-01-01,UK,EdTech,Series C,493.0,4514.0,874.0,43.55,5.0,Yes,Yes,80.0,"Node.js, React",2878660.0,1,0.19357696566998892,0.10919158361018826,9.64562569213732,10.790123456790123,6.08641975308642,537.6543209876543,0.5634285714285714,49.77142857142857,1.7692307692307692,35539.01234567901
Startup_39,2006-01-01,China,Tech,Series B,466.0,4013.0,205.0,27.11,3.0,Yes,No,64.0,"PHP, Laravel",1404970.0,2,0.05107125062282013,0.11609367214748381,6.753861484803189,3.1538461538461537,7.1692307692307695,417.0769230769231,2.262135922330097,131.60194174757282,0.43897216274089934,21614.923076923078
Startup_40,2014-01-01,France,Gaming,Series C,309.0,935.0,966.0,38.49,5.0,Yes,No,57.0,"Node.js, React",1892366.0,0,1.0320512820512822,0.3301282051282051,41.12179487179487,16.655172413793103,5.327586206896552,663.6206896551724,0.31954498448810753,39.803516028955535,3.1161290322580646,32627.0
Startup_41,2001-01-01,UK,Tech,Series C,85.0,3916.0,766.0,20.26,2.0,No,Yes,64.0,"PHP, Laravel",2386447.0,2,0.19555782486596884,0.021700280827163645,5.172325759509829,11.784615384615385,1.3076923076923077,311.6923076923077,0.11082138200782268,26.414602346805736,8.906976744186046,36714.56923076923
Startup_42,2002-01-01,China,Healthcare,Series A,495.0,86.0,188.0,37.09,4.0,Yes,No,93.0,"C++, ML",2098731.0,3,2.160919540229885,5.689655172413793,426.32183908045977,2.0,5.26595744680851,394.5744680851064,2.619047619047619,196.24338624338625,0.3790322580645161,22326.925531914894
Startup_43,2001-01-01,Brazil,Energy,IPO,301.0,2200.0,877.0,19.29,3.0,No,No,61.0,"Node.js, React",3354095.0,0,0.39845524761472056,0.13675601999091322,8.764198091776466,14.14516129032258,4.854838709677419,311.1290322580645,0.3428246013667426,21.970387243735765,2.903973509933775,54098.3064516129
Startup_44,2011-01-01,UK,Gaming,Series C,356.0,3943.0,476.0,1.36,4.0,Yes,Yes,65.0,"Node.js, React",991448.0,2,0.1206896551724138,0.09026369168356999,0.3448275862068966,7.212121212121212,5.393939393939394,20.606060606060606,0.7463312368972747,2.851153039832285,1.3333333333333333,15021.939393939394
Startup_45,2011-01-01,Brazil,AI,Series B,321.0,2600.0,834.0,13.23,6.0,Yes,Yes,83.0,"Node.js, React",3439226.0,1,0.3206459054209919,0.12341407151095732,5.086505190311419,9.928571428571429,3.8214285714285716,157.5,0.3844311377245509,15.844311377245509,2.590062111801242,40943.166666666664
Startup_46,2020-01-01,Brazil,FinTech,Series C,86.0,1418.0,675.0,25.97,6.0,No,No,5.0,"Python, AI",4702950.0,3,0.47568710359408034,0.06060606060606061,18.301620859760394,112.5,14.333333333333334,4328.333333333333,0.12721893491124261,38.417159763313606,7.758620689655173,783825.0
Startup_47,2021-01-01,Japan,Energy,IPO,80.0,3422.0,625.0,25.69,5.0,Yes,No,1.0,"Java, Spring",406193.0,1,0.18258837277242185,0.02337131171487,7.505112474437627,312.5,40.0,12845.0,0.12779552715654952,41.03833865814696,7.716049382716049,203096.5
Startup_48,2015-01-01,Canada,Healthcare,Seed,462.0,14.0,955.0,20.06,7.0,No,No,59.0,"PHP, Laravel",495267.0,0,63.666666666666664,30.8,1337.3333333333333,15.916666666666666,7.7,334.3333333333333,0.48326359832635984,20.98326359832636,2.062634989200864,8254.45
Startup_49,2017-01-01,Japan,Gaming,Series B,281.0,2016.0,715.0,38.01,9.0,No,No,38.0,"Python, AI",2197533.0,1,0.35448686167575605,0.13931581556767478,18.84481903817551,18.333333333333332,7.205128205128205,974.6153846153846,0.3924581005586592,53.08659217877095,2.5354609929078014,56347.0
Startup_50,2015-01-01,USA,FoodTech,Series B,307.0,775.0,854.0,8.69,3.0,Yes,No,76.0,"Node.js, React",3468338.0,0,1.1005154639175259,0.3956185567010309,11.198453608247423,11.090909090909092,3.987012987012987,112.85714285714286,0.35906432748538014,10.163742690058479,2.772727272727273,45043.35064935065
Startup_51,2009-01-01,Japan,FinTech,Series A,116.0,1514.0,298.0,31.8,3.0,No,No,7.0,"PHP, Laravel",1491326.0,2,0.1966996699669967,0.07656765676567656,20.99009900990099,37.25,14.5,3975.0,0.3879598662207358,106.35451505016722,2.547008547008547,186415.75
Startup_52,2013-01-01,UK,Gaming,IPO,434.0,2714.0,632.0,8.1,5.0,Yes,No,40.0,"Node.js, React",4894200.0,0,0.23278084714548802,0.1598526703499079,2.983425414364641,15.414634146341463,10.585365853658537,197.5609756097561,0.6856240126382307,12.796208530805687,1.452873563218391,119370.73170731707
Startup_53,2006-01-01,Japan,EdTech,IPO,127.0,895.0,267.0,40.45,7.0,Yes,Yes,19.0,"Node.js, React",3449428.0,3,0.29799107142857145,0.14174107142857142,45.145089285714285,13.35,6.35,2022.5,0.47388059701492535,150.93283582089552,2.0859375,172471.4
Startup_54,2019-01-01,UK,Energy,IPO,328.0,1230.0,30.0,26.88,6.0,No,Yes,42.0,"PHP, Laravel",4656413.0,3,0.024370430544272948,0.26645004061738425,21.835905767668564,0.6976744186046512,7.627906976744186,625.1162790697674,10.580645161290322,867.0967741935484,0.0911854103343465,108288.67441860466
Startup_55,2002-01-01,Japan,FinTech,Seed,42.0,1272.0,532.0,30.48,1.0,No,Yes,62.0,"Python, AI",1553509.0,0,0.417910447761194,0.032992930086410056,23.94344069128044,8.444444444444445,0.6666666666666666,483.8095238095238,0.07879924953095685,57.185741088180116,12.372093023255815,24658.873015873014
Startup_56,2004-01-01,Australia,Logistics,IPO,456.0,3426.0,948.0,15.82,9.0,Yes,No,80.0,"Node.js, React",1721293.0,1,0.2766267872775022,0.1330609862853808,4.616282462795448,11.703703703703704,5.62962962962963,195.30864197530863,0.48050579557428874,16.67017913593256,2.0743982494529543,21250.53086419753
Startup_57,2003-01-01,Japan,Gaming,Seed,113.0,546.0,897.0,40.3,7.0,No,No,40.0,"Python, AI",77085.0,0,1.639853747714808,0.20658135283363802,73.6745886654479,21.878048780487806,2.7560975609756095,982.9268292682926,0.12583518930957685,44.87750556792873,7.868421052631579,1880.121951219512
Startup_58,2018-01-01,Brazil,Logistics,Series A,53.0,1557.0,3.0,12.92,3.0,No,No,65.0,"PHP, Laravel",3864746.0,2,0.0019255455712451862,0.03401797175866496,8.292682926829269,0.045454545454545456,0.803030303030303,195.75757575757575,13.25,3230.0,0.05555555555555555,58556.757575757576
Startup_59,2000-01-01,India,FoodTech,Series C,218.0,1968.0,913.0,10.88,1.0,No,No,98.0,"Java, Spring",4769265.0,0,0.46368715083798884,0.11071609954291518,5.525647536820721,9.222222222222221,2.202020202020202,109.8989898989899,0.23851203501094093,11.903719912472647,4.168949771689498,48174.393939393936
Startup_60,2015-01-01,Brazil,Logistics,Series C,325.0,3077.0,755.0,32.09,9.0,No,Yes,6.0,"C++, ML",3527941.0,1,0.24528914879792071,0.1055880441845354,10.42560103963613,107.85714285714286,46.42857142857143,4584.285714285715,0.4298941798941799,42.44708994708995,2.315950920245399,503991.5714285714
Startup_61,2011-01-01,Japan,E-commerce,Series B,484.0,2334.0,312.0,43.74,5.0,Yes,No,39.0,"Node.js, React",3695952.0,3,0.13361884368308352,0.20728051391862956,18.73233404710921,7.8,12.1,1093.5,1.5463258785942493,139.7444089456869,0.643298969072165,92398.8
Startup_62,2013-01-01,India,Gaming,Series B,156.0,4838.0,154.0,44.17,9.0,No,Yes,25.0,"Python, AI",3959671.0,1,0.03182475718123579,0.032238065716057036,9.127918991527174,5.923076923076923,6.0,1698.8461538461538,1.0064516129032257,284.96774193548384,0.9808917197452229,152295.03846153847
Startup_63,2011-01-01,USA,FinTech,Series A,119.0,4647.0,313.0,44.38,3.0,Yes,No,64.0,"Python, AI",86831.0,2,0.0673407917383821,0.025602409638554216,9.548192771084338,4.815384615384615,1.8307692307692307,682.7692307692307,0.37898089171974525,141.3375796178344,2.6083333333333334,1335.8615384615384
Startup_64,2018-01-01,UK,Tech,Series A,259.0,4376.0,647.0,2.24,6.0,Yes,No,96.0,"Node.js, React",2418208.0,1,0.14781814027872972,0.05917294950879598,0.5117660498058031,6.670103092783505,2.670103092783505,23.09278350515464,0.39969135802469136,3.45679012345679,2.4884615384615385,24929.9793814433
Startup_65,2007-01-01,Brazil,Gaming,IPO,157.0,2333.0,241.0,40.23,2.0,Yes,No,60.0,"Java, Spring",4879626.0,2,0.10325621251071122,0.06726649528706084,17.236503856041132,3.9508196721311477,2.5737704918032787,659.5081967213115,0.6487603305785123,166.2396694214876,1.5253164556962024,79993.86885245901
Startup_66,2017-01-01,Australia,Logistics,Series A,86.0,1676.0,668.0,13.17,4.0,Yes,Yes,2.0,"Node.js, React",235387.0,0,0.3983303518187239,0.05128205128205128,7.853309481216458,222.66666666666666,28.666666666666668,4390.0,0.12855007473841554,19.68609865470852,7.67816091954023,78462.33333333333
Startup_67,2013-01-01,France,FoodTech,Series C,482.0,4873.0,506.0,25.53,5.0,No,Yes,14.0,"Python, AI",758925.0,1,0.10381616741895773,0.09889208042675421,5.237997537956504,33.733333333333334,32.13333333333333,1702.0,0.9506903353057199,50.35502958579882,1.0476190476190477,50595.0
Startup_68,2020-01-01,China,Logistics,Seed,424.0,1531.0,130.0,28.64,5.0,No,Yes,16.0,"C++, ML",1138753.0,3,0.08485639686684072,0.27676240208877284,18.694516971279374,7.647058823529412,24.941176470588236,1684.7058823529412,3.236641221374046,218.6259541984733,0.3058823529411765,66985.4705882353
Startup_69,2010-01-01,Germany,E-commerce,Series A,147.0,3371.0,308.0,28.29,5.0,No,No,6.0,"Python, AI",2304376.0,2,0.09134045077105575,0.04359430604982206,8.38967971530249,44.0,21.0,4041.4285714285716,0.47572815533980584,91.55339805825243,2.081081081081081,329196.5714285714
Startup_70,2013-01-01,France,Gaming,Series B,222.0,1639.0,597.0,19.06,6.0,No,Yes,15.0,"Java, Spring",2314471.0,3,0.36402439024390243,0.1353658536585366,11.621951219512194,37.3125,13.875,1191.25,0.3712374581939799,31.872909698996654,2.6771300448430493,144654.4375
Startup_71,2009-01-01,Brazil,FinTech,IPO,370.0,860.0,784.0,43.03,8.0,No,Yes,48.0,"Python, AI",1880741.0,3,0.9105691056910569,0.429732868757259,49.976771196283394,16.0,7.551020408163265,878.1632653061224,0.4713375796178344,54.81528662420382,2.1132075471698113,38382.4693877551
Startup_72,2008-01-01,India,E-commerce,Series C,14.0,4705.0,340.0,6.57,5.0,Yes,Yes,80.0,"Node.js, React",2873936.0,2,0.07224819379515512,0.0029749256268593286,1.3960900977475563,4.197530864197531,0.1728395061728395,81.11111111111111,0.04105571847507331,19.266862170087975,22.666666666666668,35480.69135802469
Startup_73,2011-01-01,USA,E-commerce,Series B,455.0,168.0,612.0,9.67,6.0,No,Yes,11.0,"C++, ML",470816.0,0,3.621301775147929,2.6923076923076925,57.218934911242606,51.0,37.916666666666664,805.8333333333334,0.7422512234910277,15.774877650897226,1.3421052631578947,39234.666666666664
Startup_74,2007-01-01,France,Healthcare,Series A,300.0,1471.0,599.0,1.85,8.0,No,No,20.0,"Node.js, React",4353758.0,3,0.406929347826087,0.20380434782608695,1.2567934782608696,28.523809523809526,14.285714285714286,88.0952380952381,0.5,3.0833333333333335,1.9900332225913622,207321.80952380953
Startup_75,2017-01-01,Japan,FoodTech,Seed,1.0,4353.0,738.0,41.18,2.0,Yes,Yes,64.0,"Python, AI",2104413.0,2,0.16949931097841064,0.00022967386311437759,9.457969683050068,11.353846153846154,0.015384615384615385,633.5384615384615,0.0013531799729364006,55.723951285520975,369.0,32375.584615384614
Startup_76,2000-01-01,Japan,E-commerce,Seed,62.0,2824.0,108.0,16.0,1.0,Yes,No,3.0,"PHP, Laravel",1996260.0,2,0.03823008849557522,0.021946902654867255,5.663716814159292,27.0,15.5,4000.0,0.5688073394495413,146.78899082568807,1.7142857142857142,499065.0
Startup_77,2012-01-01,Canada,EdTech,Series B,267.0,4643.0,919.0,3.76,1.0,Yes,No,12.0,"Java, Spring",3898124.0,0,0.19788975021533162,0.05749354005167959,0.8096468561584841,70.6923076923077,20.53846153846154,289.2307692307692,0.2902173913043478,4.086956521739131,3.4291044776119404,299855.6923076923
Startup_78,2013-01-01,India,E-commerce,Seed,189.0,2927.0,229.0,44.39,4.0,Yes,Yes,24.0,"PHP, Laravel",3026552.0,2,0.0782103825136612,0.06454918032786885,15.16051912568306,9.16,7.56,1775.6,0.8217391304347826,193.0,1.2052631578947368,121062.08
Startup_79,2005-01-01,Brazil,Healthcare,Series A,438.0,1518.0,868.0,19.96,4.0,Yes,No,43.0,"Java, Spring",534264.0,0,0.5714285714285714,0.28834759710335744,13.140223831468072,19.727272727272727,9.954545454545455,453.6363636363636,0.5040276179516686,22.96892980437284,1.9772209567198178,12142.363636363636
Startup_80,2002-01-01,China,AI,Series C,113.0,428.0,554.0,27.5,6.0,No,Yes,56.0,"PHP, Laravel",2067354.0,3,1.2913752913752914,0.2634032634032634,64.1025641025641,9.719298245614034,1.9824561403508771,482.4561403508772,0.2036036036036036,49.549549549549546,4.859649122807017,36269.36842105263
Startup_81,2021-01-01,UK,FoodTech,IPO,218.0,2288.0,679.0,23.91,8.0,No,Yes,91.0,"Node.js, React",4152000.0,1,0.2966360856269113,0.09523809523809523,10.445609436435124,7.380434782608695,2.369565217391304,259.89130434782606,0.3205882352941177,35.161764705882355,3.1004566210045663,45130.434782608696
Startup_82,2005-01-01,China,E-commerce,Series A,96.0,4050.0,656.0,17.14,3.0,No,Yes,66.0,"Java, Spring",4080920.0,2,0.1619353246112071,0.02369785238212787,4.2310540607257465,9.791044776119403,1.4328358208955223,255.82089552238807,0.1461187214611872,26.088280060882802,6.762886597938144,60909.253731343284
Startup_83,2016-01-01,Australia,Energy,Series C,113.0,2671.0,494.0,9.07,6.0,Yes,Yes,21.0,"C++, ML",3099819.0,3,0.18488023952095808,0.04229041916167665,3.394461077844311,22.454545454545453,5.136363636363637,412.27272727272725,0.22828282828282828,18.32323232323232,4.333333333333333,140900.86363636365
Startup_84,2005-01-01,China,Energy,Series A,438.0,4725.0,838.0,46.66,6.0,Yes,No,12.0,"Java, Spring",1108667.0,1,0.177316969953449,0.09267879813796022,9.873042742276766,64.46153846153847,33.69230769230769,3589.230769230769,0.5220500595947557,55.61382598331347,1.9088838268792712,85282.07692307692
Startup_85,2010-01-01,UK,Energy,Series B,228.0,4885.0,985.0,28.14,4.0,Yes,Yes,83.0,"C++, ML",1531764.0,1,0.20159639787146952,0.04666393778141629,5.759312320916905,11.726190476190476,2.7142857142857144,335.0,0.23123732251521298,28.539553752535497,4.301310043668122,18235.285714285714
Startup_86,2011-01-01,UK,AI,Series B,349.0,4395.0,494.0,0.41,3.0,No,Yes,44.0,"PHP, Laravel",3113439.0,2,0.11237488626023658,0.07939035486806187,0.09326660600545951,10.977777777777778,7.7555555555555555,9.11111111111111,0.705050505050505,0.8282828282828283,1.4114285714285715,69187.53333333334
Startup_87,2006-01-01,USA,Tech,Series C,479.0,3651.0,727.0,8.02,1.0,Yes,Yes,36.0,"Java, Spring",1288611.0,0,0.19906900328587077,0.13116100766703176,2.1960569550930997,19.64864864864865,12.945945945945946,216.75675675675674,0.657967032967033,11.016483516483516,1.5145833333333334,34827.32432432433
Startup_88,2020-01-01,India,Healthcare,IPO,139.0,1415.0,520.0,47.94,6.0,Yes,No,89.0,"Java, Spring",2389982.0,3,0.3672316384180791,0.0981638418079096,33.855932203389834,5.777777777777778,1.5444444444444445,532.6666666666666,0.2667946257197697,92.01535508637237,3.7142857142857144,26555.355555555554
Startup_89,2000-01-01,Brazil,AI,Seed,257.0,3117.0,863.0,13.55,3.0,Yes,No,56.0,"Node.js, React",2955915.0,0,0.2767799871712636,0.08242463117382938,4.345734445157152,15.140350877192983,4.508771929824562,237.71929824561403,0.2974537037037037,15.68287037037037,3.3449612403100777,51858.15789473684
