startup_name,founded_year,country,continent,industry,funding_stage,funding_stage_group,size_employees,size_revenue,size_funding,size_valuation,tech_stack,total_funding_millions,number_employees,annual_revenue_millions,valuation_billions,customers_millions,social_media_followers,revenue_per_employee,funding_per_employee,valuation_per_employee,revenue_per_customer,funding_per_customer,valuation_per_customer,funding_to_revenue,valuation_to_revenue,revenue_to_funding,followers_per_customer,success_score,acquired,ipo,cluster,ratio_cluster_new,ratio_pca1_new,ratio_pca2_new
Startup_11,2011-01-01,Brazil,South America,Gaming,Series B,Growth Stage,Large,Low,Low,High,"Java, Spring",42.0,4233.0,12.0,38.93,21.0,3454684.0,0.002834199338686821,0.009919697685403874,9.194615021256496,0.5454545454545454,1.9090909090909092,1769.5454545454545,3.230769230769231,2994.6153846153848,0.27906976744186046,157031.0909090909,6.0,1,0,4,1,-0.1285970881635206,-0.2737335787138105
Startup_12,2020-01-01,UK,Europe,Energy,Series A,Growth Stage,Large,High,High,Medium,"Java, Spring",346.0,4704.0,853.0,22.84,3.0,4915500.0,0.18129649309245482,0.07353878852284804,4.8544102019128585,213.25,86.5,5710.0,0.405152224824356,26.74473067915691,2.4582132564841497,1228875.0,1.0,1,1,0,3,8.334297754136417,-0.31533290591857904
Startup_13,2002-01-01,France,Europe,EdTech,IPO,Late Stage,Large,High,Medium,High,"Node.js, React",134.0,4347.0,752.0,36.99,75.0,3600172.0,0.17295308187672492,0.030818767249310028,8.507359705611776,9.894736842105264,1.763157894736842,486.7105263157895,0.17795484727755645,49.123505976095615,5.57037037037037,47370.68421052631,2.0,1,0,1,1,-0.6573300245665323,-0.25836489126151757
Startup_14,2022-01-01,Canada,North America,Gaming,Series A,Growth Stage,Medium,Medium,Low,Low,"Node.js, React",71.0,1234.0,334.0,3.7,56.0,174818.0,0.2704453441295547,0.05748987854251012,2.9959514170040484,5.859649122807017,1.2456140350877194,64.91228070175438,0.21194029850746268,11.044776119402986,4.638888888888889,3066.9824561403507,3.0,1,0,1,1,-0.9401796227142912,-0.24739013898137724
Startup_15,2004-01-01,Australia,Oceania,EdTech,Series B,Growth Stage,Large,Medium,High,High,"Python, AI",290.0,2773.0,361.0,32.66,45.0,39240.0,0.13013698630136986,0.10454217736121124,11.773612112472962,7.8478260869565215,6.304347826086956,709.9999999999999,0.8011049723756906,90.22099447513811,1.2405498281786942,853.0434782608696,1.0,1,0,1,1,-0.6295800292980228,-0.2349577859669094
Startup_16,2017-01-01,India,Asia,Gaming,Series C,Growth Stage,Large,High,Medium,High,"Node.js, React",177.0,3585.0,576.0,28.47,37.0,2022069.0,0.16062465142219742,0.04935861684327942,7.939208031232571,15.157894736842104,4.657894736842105,749.2105263157895,0.30675909878682844,49.341421143847484,3.235955056179775,53212.34210526316,5.0,1,1,4,1,-0.4375881966070126,-0.25771577443495297
Startup_17,2017-01-01,France,Europe,E-commerce,IPO,Late Stage,Medium,Low,Medium,High,"PHP, Laravel",183.0,1968.0,95.0,27.29,33.0,828711.0,0.04824784154393093,0.09294057897409853,13.859827323514475,2.7941176470588234,5.382352941176471,802.6470588235294,1.90625,284.2708333333333,0.5163043478260869,24373.852941176472,5.0,1,0,4,1,-0.6263889260822602,-0.24594961638638185
Startup_18,2010-01-01,India,Asia,FinTech,Series C,Growth Stage,Large,High,High,High,"Node.js, React",427.0,4362.0,668.0,32.54,2.0,2016476.0,0.1531056612422645,0.09786843914737565,7.458170983268393,222.66666666666666,142.33333333333334,10846.666666666666,0.6382660687593423,48.639760837070256,1.560747663551402,672158.6666666666,9.0,1,0,0,3,9.682257569527424,-0.27716114160783883
Startup_19,2020-01-01,India,Asia,Energy,Series C,Growth Stage,Small,Low,High,High,"Java, Spring",267.0,995.0,105.0,42.96,18.0,1292825.0,0.10542168674698796,0.2680722891566265,43.13253012048193,5.526315789473684,14.052631578947368,2261.0526315789475,2.518867924528302,405.2830188679245,0.3917910447761194,68043.42105263157,1.0,0,1,4,1,0.10483213053042585,-0.11762636926126212
Startup_20,2008-01-01,Japan,Asia,Gaming,IPO,Late Stage,Medium,High,Medium,Medium,"Python, AI",156.0,1307.0,834.0,19.75,71.0,3548884.0,0.6376146788990825,0.11926605504587157,15.099388379204893,11.583333333333334,2.1666666666666665,274.30555555555554,0.18682634730538922,23.652694610778443,5.312101910828026,49290.055555555555,7.0,0,0,1,1,-0.6743679859283558,-0.14817174529345165
Startup_21,2001-01-01,Australia,Oceania,FinTech,Series A,Growth Stage,Small,Medium,High,Low,"Node.js, React",441.0,470.0,253.0,5.67,63.0,622784.0,0.5371549893842887,0.9363057324840764,12.038216560509554,3.953125,6.890625,88.59375,1.736220472440945,22.322834645669293,0.5723981900452488,9731.0,6.0,1,1,1,1,-0.7912098747006039,0.07394813032951353
Startup_22,2011-01-01,France,Europe,AI,Series C,Growth Stage,Medium,Low,High,Medium,"PHP, Laravel",344.0,1517.0,143.0,13.32,17.0,3013055.0,0.09420289855072464,0.22661396574440051,8.774703557312254,7.944444444444445,19.11111111111111,740.0,2.388888888888889,92.5,0.4144927536231884,167391.94444444444,9.0,1,1,4,1,0.13389699492192605,-0.21791214317353377
Startup_23,2016-01-01,UK,Europe,FinTech,Series C,Growth Stage,Large,High,Medium,High,"C++, ML",173.0,4242.0,763.0,39.2,3.0,4466664.0,0.17982559509780816,0.04077303794485034,9.23874617016262,190.75,43.25,9800.0,0.22643979057591623,51.30890052356021,4.385057471264368,1116666.0,7.0,1,0,0,3,7.713535373113536,-0.3074932504370437
Startup_24,2009-01-01,USA,North America,AI,Seed,Early Stage,Small,High,High,High,"PHP, Laravel",292.0,982.0,701.0,35.2,58.0,2009476.0,0.7131230925737538,0.2970498474059003,35.808748728382504,11.88135593220339,4.9491525423728815,596.6101694915254,0.41595441595441596,50.142450142450144,2.3924914675767917,34058.91525423729,6.0,0,1,1,1,-0.5567671084842611,-0.03651821683806142
Startup_25,2001-01-01,Brazil,South America,E-commerce,Seed,Early Stage,Large,High,Low,Medium,"Python, AI",94.0,2614.0,858.0,13.86,67.0,1892546.0,0.32810707456978966,0.03594646271510516,5.30019120458891,12.617647058823529,1.3823529411764706,203.8235294117647,0.10942956926658906,16.135040745052386,9.031578947368422,27831.558823529413,2.0,0,0,1,1,-0.7577737384775699,-0.23913018717763837
Startup_26,2019-01-01,Australia,Oceania,Gaming,Seed,Early Stage,Large,Medium,Low,Medium,"Node.js, React",15.0,4449.0,390.0,17.82,64.0,3597210.0,0.08764044943820225,0.0033707865168539327,4.004494382022472,6.0,0.23076923076923078,274.15384615384613,0.03836317135549872,45.57544757033248,24.375,55341.692307692305,9.0,0,1,1,1,-0.7898929980058692,-0.2795522141656489
Startup_27,2009-01-01,Australia,Oceania,EdTech,Series B,Growth Stage,Small,Low,High,Medium,"Python, AI",281.0,929.0,148.0,16.18,31.0,1931102.0,0.15913978494623657,0.3021505376344086,17.397849462365592,4.625,8.78125,505.625,1.8859060402684564,108.59060402684564,0.524822695035461,60346.9375,4.0,1,0,4,1,-0.5011087826763897,-0.16145927970815319
Startup_28,2007-01-01,China,Asia,AI,Series B,Growth Stage,Large,Low,High,High,"PHP, Laravel",318.0,3707.0,145.0,40.77,58.0,4823603.0,0.03910463861920173,0.08576051779935275,10.995145631067961,2.457627118644068,5.389830508474576,691.0169491525423,2.1780821917808217,279.24657534246575,0.45454545454545453,81755.98305084746,7.0,0,1,1,1,-0.5088982525859228,-0.25869194352089825
Startup_29,2015-01-01,Germany,Europe,Gaming,Seed,Early Stage,Large,Medium,Low,Low,"Python, AI",54.0,3489.0,348.0,1.89,73.0,1831303.0,0.0997134670487106,0.015472779369627506,0.5415472779369628,4.702702702702703,0.7297297297297297,25.54054054054054,0.15472779369627507,5.415472779369628,6.327272727272727,24747.337837837837,2.0,1,0,1,1,-0.9223723590199574,-0.2909839544792332
Startup_30,2018-01-01,France,Europe,Energy,Seed,Early Stage,Large,Low,Medium,High,"Python, AI",170.0,3377.0,96.0,49.77,25.0,4378403.0,0.028419182948490232,0.05032563647128478,14.733570159857905,3.6923076923076925,6.538461538461538,1914.2307692307693,1.7525773195876289,513.0927835051547,0.5614035087719298,168400.11538461538,7.0,1,0,4,1,0.06747390645256814,-0.2629644555972391
Startup_31,2007-01-01,Brazil,South America,Gaming,Series A,Growth Stage,Large,High,Medium,High,"Java, Spring",243.0,3292.0,987.0,45.29,4.0,2578332.0,0.29972669298511995,0.07379289401761312,13.753416337686001,197.4,48.6,9058.0,0.24595141700404857,45.840080971659916,4.045081967213115,515666.4,5.0,0,1,0,3,6.182445809194685,-0.24584042679252824
Startup_32,2016-01-01,Canada,North America,FinTech,Series A,Growth Stage,Medium,Low,High,High,"Node.js, React",296.0,1705.0,118.0,38.13,1.0,2501035.0,0.06916764361078546,0.1735052754982415,22.35052754982415,59.0,148.0,19065.0,2.4873949579831933,320.4201680672269,0.39730639730639733,1250517.5,2.0,0,0,0,3,11.375678191894934,-0.23213405640022897
Startup_33,2021-01-01,Germany,Europe,Energy,Series B,Growth Stage,Large,High,High,High,"Node.js, React",355.0,4799.0,792.0,31.14,73.0,1137140.0,0.165,0.07395833333333333,6.4875,10.702702702702704,4.797297297297297,420.81081081081084,0.44766708701134933,39.26860025220681,2.2247191011235956,15366.756756756757,4.0,0,1,1,1,-0.6685982943352708,-0.2519147858580724
Startup_34,2016-01-01,Australia,Oceania,FinTech,Series B,Growth Stage,Small,Medium,High,Medium,"Python, AI",309.0,396.0,347.0,22.09,93.0,3776319.0,0.8740554156171285,0.7783375314861462,55.642317380352644,3.6914893617021276,3.2872340425531914,235.0,0.8879310344827587,63.47701149425287,1.1193548387096774,40173.60638297872,8.0,0,1,1,1,-0.7700553363418131,0.17676492844126654
Startup_35,2009-01-01,Germany,Europe,EdTech,Series A,Growth Stage,Large,High,Low,Medium,"Java, Spring",38.0,3543.0,734.0,22.36,40.0,591983.0,0.20711060948081264,0.01072234762979684,6.309255079006772,17.902439024390244,0.926829268292683,545.3658536585366,0.05170068027210884,30.421768707482993,18.82051282051282,14438.609756097561,5.0,0,0,1,1,-0.6602888840497831,-0.2567917990051862
Startup_36,2010-01-01,Canada,North America,E-commerce,Seed,Early Stage,Large,Low,Medium,Medium,"Python, AI",251.0,3790.0,194.0,20.23,71.0,3979306.0,0.051173832761804275,0.06620944341862306,5.336322869955157,2.6944444444444446,3.486111111111111,280.97222222222223,1.2871794871794873,103.74358974358974,0.7698412698412699,55268.13888888889,5.0,1,0,1,1,-0.7282627496121634,-0.2756695258428743
Startup_37,2021-01-01,Australia,Oceania,EdTech,Series A,Growth Stage,Medium,High,High,High,"C++, ML",262.0,1520.0,902.0,26.47,99.0,1643315.0,0.5930309007232084,0.1722550953320184,17.40302432610125,9.02,2.62,264.7,0.2901439645625692,29.313399778516057,3.429657794676806,16433.15,2.0,1,1,1,1,-0.7806065968405075,-0.13301979948094933
Startup_38,2016-01-01,UK,Europe,EdTech,Series C,Growth Stage,Large,High,High,High,"Node.js, React",493.0,4514.0,874.0,43.55,80.0,2878660.0,0.19357696566998892,0.10919158361018826,9.64562569213732,10.790123456790123,6.08641975308642,537.6543209876543,0.5634285714285714,49.77142857142857,1.7692307692307692,35539.01234567901,5.0,1,1,1,1,-0.553029606505314,-0.2307330106138007
Startup_39,2006-01-01,China,Asia,Tech,Series B,Growth Stage,Large,Low,High,High,"PHP, Laravel",466.0,4013.0,205.0,27.11,64.0,1404970.0,0.05107125062282013,0.11609367214748381,6.753861484803189,3.1538461538461537,7.1692307692307695,417.0769230769231,2.262135922330097,131.60194174757282,0.43897216274089934,21614.923076923078,3.0,1,0,1,1,-0.6818909359274234,-0.25640272337217335
Startup_40,2014-01-01,France,Europe,Gaming,Series C,Growth Stage,Small,High,High,High,"Node.js, React",309.0,935.0,966.0,38.49,57.0,1892366.0,1.0320512820512822,0.3301282051282051,41.12179487179487,16.655172413793103,5.327586206896552,663.6206896551724,0.31954498448810753,39.803516028955535,3.1161290322580646,32627.0,5.0,1,0,1,1,-0.47607925243467597,0.03311729682835279
Startup_41,2001-01-01,UK,Europe,Tech,Series C,Growth Stage,Large,High,Low,Medium,"PHP, Laravel",85.0,3916.0,766.0,20.26,64.0,2386447.0,0.19555782486596884,0.021700280827163645,5.172325759509829,11.784615384615385,1.3076923076923077,311.6923076923077,0.11082138200782268,26.414602346805736,8.906976744186046,36714.56923076923,2.0,0,1,1,1,-0.7196741153003008,-0.26364036547499325
Startup_42,2002-01-01,China,Asia,Healthcare,Series A,Growth Stage,Small,Low,High,High,"C++, ML",495.0,86.0,188.0,37.09,93.0,2098731.0,2.160919540229885,5.689655172413793,426.32183908045977,2.0,5.26595744680851,394.5744680851064,2.619047619047619,196.24338624338625,0.3790322580645161,22326.925531914894,4.0,1,0,1,1,-0.7236529863177354,2.6940863300349847
Startup_43,2001-01-01,Brazil,South America,Energy,IPO,Late Stage,Medium,High,High,Medium,"Node.js, React",301.0,2200.0,877.0,19.29,61.0,3354095.0,0.39845524761472056,0.13675601999091322,8.764198091776466,14.14516129032258,4.854838709677419,311.1290322580645,0.3428246013667426,21.970387243735765,2.903973509933775,54098.3064516129,3.0,0,0,1,1,-0.5522581238247439,-0.19478774663009604
Startup_44,2011-01-01,UK,Europe,Gaming,Series C,Growth Stage,Large,Medium,High,Low,"Node.js, React",356.0,3943.0,476.0,1.36,65.0,991448.0,0.1206896551724138,0.09026369168356999,0.3448275862068966,7.212121212121212,5.393939393939394,20.606060606060606,0.7463312368972747,2.851153039832285,1.3333333333333333,15021.939393939394,4.0,1,1,1,1,-0.7970791087403143,-0.26853129154147837
Startup_45,2011-01-01,Brazil,South America,AI,Series B,Growth Stage,Large,High,High,Medium,"Node.js, React",321.0,2600.0,834.0,13.23,83.0,3439226.0,0.3206459054209919,0.12341407151095732,5.086505190311419,9.928571428571429,3.8214285714285716,157.5,0.3844311377245509,15.844311377245509,2.590062111801242,40943.166666666664,6.0,1,1,1,1,-0.702387111903947,-0.21826029271160993
Startup_46,2020-01-01,Brazil,South America,FinTech,Series C,Growth Stage,Medium,High,Low,High,"Python, AI",86.0,1418.0,675.0,25.97,5.0,4702950.0,0.47568710359408034,0.06060606060606061,18.301620859760394,112.5,14.333333333333334,4328.333333333333,0.12721893491124261,38.417159763313606,7.758620689655173,783825.0,6.0,0,0,0,3,3.7924603271230835,-0.21854616759937617
Startup_47,2021-01-01,Japan,Asia,Energy,IPO,Late Stage,Large,High,Low,High,"Java, Spring",80.0,3422.0,625.0,25.69,1.0,406193.0,0.18258837277242185,0.02337131171487,7.505112474437627,312.5,40.0,12845.0,0.12779552715654952,41.03833865814696,7.716049382716049,203096.5,5.0,1,0,0,3,7.520503360612457,-0.2888079052329697
Startup_48,2015-01-01,Canada,North America,Healthcare,Seed,Early Stage,Small,High,High,Medium,"PHP, Laravel",462.0,14.0,955.0,20.06,59.0,495267.0,63.666666666666664,30.8,1337.3333333333333,15.916666666666666,7.7,334.3333333333333,0.48326359832635984,20.98326359832636,2.062634989200864,8254.45,7.0,0,0,3,4,-0.45147600821564354,21.483503845213185
Startup_49,2017-01-01,Japan,Asia,Gaming,Series B,Growth Stage,Medium,High,High,High,"Python, AI",281.0,2016.0,715.0,38.01,38.0,2197533.0,0.35448686167575605,0.13931581556767478,18.84481903817551,18.333333333333332,7.205128205128205,974.6153846153846,0.3924581005586592,53.08659217877095,2.5354609929078014,56347.0,9.0,0,0,4,1,-0.26939903629205486,-0.1773249933530399
Startup_50,2015-01-01,USA,North America,FoodTech,Series B,Growth Stage,Small,High,High,Low,"Node.js, React",307.0,775.0,854.0,8.69,76.0,3468338.0,1.1005154639175259,0.3956185567010309,11.198453608247423,11.090909090909092,3.987012987012987,112.85714285714286,0.35906432748538014,10.163742690058479,2.772727272727273,45043.35064935065,3.0,1,0,1,1,-0.6836708138970519,-0.00661405830223864
Startup_51,2009-01-01,Japan,Asia,FinTech,Series A,Growth Stage,Medium,Medium,Low,High,"PHP, Laravel",116.0,1514.0,298.0,31.8,7.0,1491326.0,0.1966996699669967,0.07656765676567656,20.99009900990099,37.25,14.5,3975.0,0.3879598662207358,106.35451505016722,2.547008547008547,186415.75,3.0,0,0,4,1,1.2349382878428679,-0.21911860553777457
Startup_52,2013-01-01,UK,Europe,Gaming,IPO,Late Stage,Large,High,High,Low,"Node.js, React",434.0,2714.0,632.0,8.1,40.0,4894200.0,0.23278084714548802,0.1598526703499079,2.983425414364641,15.414634146341463,10.585365853658537,197.5609756097561,0.6856240126382307,12.796208530805687,1.452873563218391,119370.73170731707,5.0,1,0,4,1,-0.25147854334070047,-0.2293583727411061
Startup_53,2006-01-01,Japan,Asia,EdTech,IPO,Late Stage,Small,Medium,Medium,High,"Node.js, React",127.0,895.0,267.0,40.45,19.0,3449428.0,0.29799107142857145,0.14174107142857142,45.145089285714285,13.35,6.35,2022.5,0.47388059701492535,150.93283582089552,2.0859375,172471.4,7.0,1,1,4,1,0.21358647964325192,-0.12768744771997767
Startup_54,2019-01-01,UK,Europe,Energy,IPO,Late Stage,Small,Low,High,High,"PHP, Laravel",328.0,1230.0,30.0,26.88,42.0,4656413.0,0.024370430544272948,0.26645004061738425,21.835905767668564,0.6976744186046512,7.627906976744186,625.1162790697674,10.580645161290322,867.0967741935484,0.0911854103343465,108288.67441860466,6.0,0,1,4,1,-0.4018112041007832,-0.1841142796310291
Startup_55,2002-01-01,Japan,Asia,FinTech,Seed,Early Stage,Medium,High,Low,High,"Python, AI",42.0,1272.0,532.0,30.48,62.0,1553509.0,0.417910447761194,0.032992930086410056,23.94344069128044,8.444444444444445,0.6666666666666666,483.8095238095238,0.07879924953095685,57.185741088180116,12.372093023255815,24658.873015873014,1.0,0,1,1,1,-0.7670085322141281,-0.180924548580985
Startup_56,2004-01-01,Australia,Oceania,Logistics,IPO,Late Stage,Large,High,High,Medium,"Node.js, React",456.0,3426.0,948.0,15.82,80.0,1721293.0,0.2766267872775022,0.1330609862853808,4.616282462795448,11.703703703703704,5.62962962962963,195.30864197530863,0.48050579557428874,16.67017913593256,2.0743982494529543,21250.53086419753,9.0,1,0,1,1,-0.6766323917343525,-0.2225696609957318
Startup_57,2003-01-01,Japan,Asia,Gaming,Seed,Early Stage,Small,High,Low,High,"Python, AI",113.0,546.0,897.0,40.3,40.0,77085.0,1.639853747714808,0.20658135283363802,73.6745886654479,21.878048780487806,2.7560975609756095,982.9268292682926,0.12583518930957685,44.87750556792873,7.868421052631579,1880.121951219512,7.0,0,0,1,1,-0.4793651941310381,0.16486986823108657
Startup_58,2018-01-01,Brazil,South America,Logistics,Series A,Growth Stage,Medium,Low,Low,Medium,"PHP, Laravel",53.0,1557.0,3.0,12.92,65.0,3864746.0,0.0019255455712451862,0.03401797175866496,8.292682926829269,0.045454545454545456,0.803030303030303,195.75757575757575,13.25,3230.0,0.05555555555555555,58556.757575757576,3.0,0,0,1,1,-0.7925250005808225,-0.27106634608604724
Startup_59,2000-01-01,India,Asia,FoodTech,Series C,Growth Stage,Medium,High,Medium,Low,"Java, Spring",218.0,1968.0,913.0,10.88,98.0,4769265.0,0.46368715083798884,0.11071609954291518,5.525647536820721,9.222222222222221,2.202020202020202,109.8989898989899,0.23851203501094093,11.903719912472647,4.168949771689498,48174.393939393936,1.0,0,0,1,1,-0.7459717710161218,-0.19919750478389492
Startup_60,2015-01-01,Brazil,South America,Logistics,Series C,Growth Stage,Large,High,High,High,"C++, ML",325.0,3077.0,755.0,32.09,6.0,3527941.0,0.24528914879792071,0.1055880441845354,10.42560103963613,107.85714285714286,46.42857142857143,4584.285714285715,0.4298941798941799,42.44708994708995,2.315950920245399,503991.5714285714,9.0,0,1,0,3,3.875718697893341,-0.2459685145239292
Startup_61,2011-01-01,Japan,Asia,E-commerce,Series B,Growth Stage,Medium,Medium,High,High,"Node.js, React",484.0,2334.0,312.0,43.74,39.0,3695952.0,0.13361884368308352,0.20728051391862956,18.73233404710921,7.8,12.1,1093.5,1.5463258785942493,139.7444089456869,0.643298969072165,92398.8,5.0,1,0,4,1,-0.1496351648841497,-0.19111951631451382
Startup_62,2013-01-01,India,Asia,Gaming,Series B,Growth Stage,Large,Low,Medium,High,"Python, AI",156.0,4838.0,154.0,44.17,25.0,3959671.0,0.03182475718123579,0.032238065716057036,9.127918991527174,5.923076923076923,6.0,1698.8461538461538,1.0064516129032257,284.96774193548384,0.9808917197452229,152295.03846153847,9.0,0,1,4,1,-0.017889591641723112,-0.2815183884026514
Startup_63,2011-01-01,USA,North America,FinTech,Series A,Growth Stage,Large,Medium,Low,High,"Python, AI",119.0,4647.0,313.0,44.38,64.0,86831.0,0.0673407917383821,0.025602409638554216,9.548192771084338,4.815384615384615,1.8307692307692307,682.7692307692307,0.37898089171974525,141.3375796178344,2.6083333333333334,1335.8615384615384,3.0,1,0,1,1,-0.7853572765309746,-0.2717400705781803
Startup_64,2018-01-01,UK,Europe,Tech,Series A,Growth Stage,Large,High,High,Low,"Node.js, React",259.0,4376.0,647.0,2.24,96.0,2418208.0,0.14781814027872972,0.05917294950879598,0.5117660498058031,6.670103092783505,2.670103092783505,23.09278350515464,0.39969135802469136,3.45679012345679,2.4884615384615385,24929.9793814433,6.0,1,0,1,1,-0.846693833849806,-0.2731175513428217
Startup_65,2007-01-01,Brazil,South America,Gaming,IPO,Late Stage,Medium,Medium,Medium,High,"Java, Spring",157.0,2333.0,241.0,40.23,60.0,4879626.0,0.10325621251071122,0.06726649528706084,17.236503856041132,3.9508196721311477,2.5737704918032787,659.5081967213115,0.6487603305785123,166.2396694214876,1.5253164556962024,79993.86885245901,2.0,1,0,1,1,-0.577454082242376,-0.23988634030137865
Startup_66,2017-01-01,Australia,Oceania,Logistics,Series A,Growth Stage,Medium,High,Low,Medium,"Node.js, React",86.0,1676.0,668.0,13.17,2.0,235387.0,0.3983303518187239,0.05128205128205128,7.853309481216458,222.66666666666666,28.666666666666668,4390.0,0.12855007473841554,19.68609865470852,7.67816091954023,78462.33333333333,4.0,1,1,0,3,3.6895539772682864,-0.2392573027418384
Startup_67,2013-01-01,France,Europe,FoodTech,Series C,Growth Stage,Large,High,High,High,"Python, AI",482.0,4873.0,506.0,25.53,14.0,758925.0,0.10381616741895773,0.09889208042675421,5.237997537956504,33.733333333333334,32.13333333333333,1702.0,0.9506903353057199,50.35502958579882,1.0476190476190477,50595.0,5.0,0,1,4,1,0.7094539195530127,-0.25830321434447673
Startup_68,2020-01-01,China,Asia,Logistics,Seed,Early Stage,Medium,Low,High,High,"C++, ML",424.0,1531.0,130.0,28.64,16.0,1138753.0,0.08485639686684072,0.27676240208877284,18.694516971279374,7.647058823529412,24.941176470588236,1684.7058823529412,3.236641221374046,218.6259541984733,0.3058823529411765,66985.4705882353,5.0,0,1,4,1,0.2541915960954064,-0.17592548374001374
Startup_69,2010-01-01,Germany,Europe,E-commerce,Series A,Growth Stage,Large,Medium,Medium,High,"Python, AI",147.0,3371.0,308.0,28.29,6.0,2304376.0,0.09134045077105575,0.04359430604982206,8.38967971530249,44.0,21.0,4041.4285714285716,0.47572815533980584,91.55339805825243,2.081081081081081,329196.5714285714,5.0,0,0,4,1,1.867276422283847,-0.2801177970173107
Startup_70,2013-01-01,France,Europe,Gaming,Series B,Growth Stage,Medium,High,Medium,Medium,"Java, Spring",222.0,1639.0,597.0,19.06,15.0,2314471.0,0.36402439024390243,0.1353658536585366,11.621951219512194,37.3125,13.875,1191.25,0.3712374581939799,31.872909698996654,2.6771300448430493,144654.4375,6.0,0,1,4,1,0.41344977362768454,-0.1987967363704689
